Rank;Final Worth;Person Name;Age;Country;City;Source;Industries;Country Of Citizenship;Organization;Self Made;Status;Gender;Birth Date;Last Name;First Name; Title;Date;Birth Year;Birth Month;Birth Day;CPI Country;CPI Change Country;GDP Country;gross_tertiary_education_enrollment;gross_primary_education_enrollment_country;life_expectancy_country;tax_revenue_country_country;total_tax_rate_country;population_country;latitude_country;longitude_country
1;211000;Bernard Arnault & family;74;France;Paris;LVMH;Fashion & Retail;France;LVMH Moët Hennessy Louis Vuitton;FALSE;U;M;03/05/1949 00:00;Arnault;Bernard;Chairman and CEO;04/04/2023 05:01;1949;3;5;110.05;1.1;$2,715,518,274,227 ;65.6;102.5;82.5;24.2;60.7;67059887;46.227.638;2.213.749
2;180000;Elon Musk;51;United States;Austin;Tesla, SpaceX;Automotive;United States;Tesla;TRUE;D;M;6/28/1971 0:00;Musk;Elon;CEO;04/04/2023 05:01;1971;6;28;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
3;114000;Jeff Bezos;59;United States;Medina;Amazon;Technology;United States;Amazon;TRUE;D;M;01/12/1964 00:00;Bezos;Jeff;Chairman and Founder;04/04/2023 05:01;1964;1;12;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
4;107000;Larry Ellison;78;United States;Lanai;Oracle;Technology;United States;Oracle;TRUE;U;M;8/17/1944 0:00;Ellison;Larry;CTO and Founder;04/04/2023 05:01;1944;8;17;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
5;106000;Warren Buffett;92;United States;Omaha;Berkshire Hathaway;Finance & Investments;United States;Berkshire Hathaway Inc. (Cl A);TRUE;D;M;8/30/1930 0:00;Buffett;Warren;CEO;04/04/2023 05:01;1930;8;30;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
6;104000;Bill Gates;67;United States;Medina;Microsoft;Technology;United States;Bill & Melinda Gates Foundation;TRUE;D;M;10/28/1955 0:00;Gates;Bill;Cochair;04/04/2023 05:01;1955;10;28;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
7;94500;Michael Bloomberg;81;United States;New York;Bloomberg LP;Media & Entertainment;United States;Bloomberg;TRUE;U;M;2/14/1942 0:00;Bloomberg;Michael;CEO;04/04/2023 05:01;1942;2;14;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
8;93000;Carlos Slim Helu & family;83;Mexico;Mexico City;Telecom;Telecom;Mexico;América Móvil;TRUE;U;M;1/28/1940 0:00;Slim Helu;Carlos;Honorary Chairman;04/04/2023 05:01;1940;1;28;141.54;3.6;$1,258,286,717,125 ;40.2;105.8;75;13.1;55.1;126014024;23.634.501;-102.552.784
9;83400;Mukesh Ambani;65;India;Mumbai;Diversified;Diversified;India;Reliance Industries;FALSE;D;M;4/19/1957 0:00;Ambani;Mukesh;Founder and Chairman;04/04/2023 05:01;1957;4;19;180.44;7.7;$2,611,000,000,000 ;28.1;113;69.4;11.2;49.7;1366417754;20.593.684;7.896.288
10;80700;Steve Ballmer;67;United States;Hunts Point;Microsoft;Technology;United States;Los Angeles Clippers;TRUE;D;M;3/24/1956 0:00;Ballmer;Steve;Owner;04/04/2023 05:01;1956;3;24;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
11;80500;Francoise Bettencourt Meyers & family;69;France;Paris;L'Oréal;Fashion & Retail;France;;FALSE;U;F;07/10/1953 00:00;Bettencourt Meyers;Francoise;;04/04/2023 05:01;1953;7;10;110.05;1.1;$2,715,518,274,227 ;65.6;102.5;82.5;24.2;60.7;67059887;46.227.638;2.213.749
12;79200;Larry Page;50;United States;Palo Alto;Google;Technology;United States;Alphabet;TRUE;D;M;3/26/1973 0:00;Page;Larry;Cofounder and board member;04/04/2023 05:01;1973;3;26;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
13;77300;Amancio Ortega;87;Spain;La Coruna;Zara;Fashion & Retail;Spain;;TRUE;U;M;3/28/1936 0:00;Ortega;Amancio;;04/04/2023 05:01;1936;3;28;110.96;0.7;$1,394,116,310,769 ;88.9;102.7;83.3;14.2;47;47076781;40.463.667;-374.922
14;76000;Sergey Brin;49;United States;Los Altos;Google;Technology;United States;Alphabet;TRUE;D;M;8/21/1973 0:00;Brin;Sergey;Cofounder and board member;04/04/2023 05:01;1973;8;21;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
15;68000;Zhong Shanshan;68;China;Hangzhou;Beverages, pharmaceuticals;Food & Beverage;China;;TRUE;U;M;12/01/1954 00:00;Zhong;Shanshan;;04/04/2023 05:01;1954;12;1;125.08;2.9;$19,910,000,000,000 ;50.6;100.2;77;9.4;59.2;1397715000;3.586.166;104.195.397
16;64400;Mark Zuckerberg;38;United States;Palo Alto;Facebook;Technology;United States;Meta Platforms;TRUE;D;M;5/14/1984 0:00;Zuckerberg;Mark;Cofounder;04/04/2023 05:01;1984;5;14;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
17;59000;Charles Koch & family;87;United States;Wichita;Koch Industries;Diversified;United States;Koch Industries, Inc.;FALSE;D;M;11/01/1935 00:00;Koch;Charles;Chairman and CEO;04/04/2023 05:01;1935;11;1;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
17;59000;Julia Koch & family;60;United States;New York;Koch Industries;Diversified;United States;;FALSE;D;F;04/12/1962 00:00;Koch;Julia;;04/04/2023 05:01;1962;4;12;117.24;7.5;$21,427,700,000,000 ;88.2;101.8;78.5;9.6;36.6;328239523;3.709.024;-95.712.891
